,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
65,0.3169586658477783,0.0018115277538612031,0.01943793296813965,0.0011319122315192347,1,10,70,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 70}",0.2875,0.3125,0.3875,0.3,0.375,0.3325,0.040773766075750235,10645
66,0.3250560760498047,0.009273627169404641,0.020207929611206054,0.0008705831142056469,1,10,71,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 71}",0.2875,0.325,0.3875,0.3,0.3875,0.3375,0.04257346591481601,10526
67,0.32504968643188475,0.005622589442773303,0.02030601501464844,0.0008658000916674696,1,10,72,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 72}",0.275,0.3375,0.375,0.3,0.3875,0.335,0.04286607049870562,10574
68,0.32889585494995116,0.005460835183941458,0.020678138732910155,0.0013111031953509048,1,10,73,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 73}",0.275,0.3375,0.375,0.3,0.4,0.3375,0.046097722286464436,10526
69,0.3419159412384033,0.004531368419971713,0.021171140670776366,0.000938553787819632,1,10,74,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 74}",0.275,0.325,0.375,0.325,0.375,0.335,0.0374165738677394,10574
70,0.3407119274139404,0.01585417080582929,0.021382951736450197,0.0016887706936847642,1,10,75,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 75}",0.275,0.325,0.3875,0.3125,0.4,0.34,0.04703721930556695,10501
71,0.35150761604309083,0.009677872019898318,0.022327232360839843,0.0024977395224342683,1,10,76,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 76}",0.275,0.35,0.375,0.3,0.375,0.335,0.04062019202317979,10574
72,0.3573561191558838,0.004162897798404813,0.02153182029724121,0.0005027198749893501,1,10,77,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 77}",0.2875,0.3125,0.3875,0.3,0.375,0.3325,0.040773766075750235,10645
73,0.34490289688110354,0.010648738187673097,0.021105384826660155,0.000526328798766764,1,10,78,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 78}",0.3,0.3375,0.3875,0.3,0.3875,0.34249999999999997,0.03921096785339531,10468
74,0.3647442817687988,0.010736241439953175,0.022441959381103514,0.0027816990133109746,1,10,79,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 79}",0.3,0.3125,0.3875,0.3,0.375,0.335,0.038242646351945894,10574
75,0.38486557006835936,0.05921700388461498,0.02349238395690918,0.004249743199975223,1,10,80,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 80}",0.3,0.325,0.3875,0.3,0.375,0.3375,0.03708099243547833,10526
76,0.40361781120300294,0.02361281481826072,0.02332172393798828,0.0023267535676122324,1,10,81,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 81}",0.3,0.325,0.3875,0.3125,0.3875,0.34249999999999997,0.03758324094593228,10468
77,0.3998884677886963,0.03162583297094575,0.03240528106689453,0.015705485478977023,1,10,82,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 82}",0.3,0.325,0.3875,0.3,0.375,0.3375,0.03708099243547833,10526
78,0.4902217388153076,0.04902258321962514,0.0395167350769043,0.03005318110939384,1,10,83,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 83}",0.3,0.325,0.375,0.3,0.3875,0.3375,0.03708099243547832,10526
79,0.393402624130249,0.02400494409674843,0.028493165969848633,0.01170154662464438,1,10,84,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 84}",0.3,0.325,0.375,0.3125,0.4,0.34249999999999997,0.03840572873934305,10468
80,0.45070614814758303,0.05790307298710696,0.03225917816162109,0.015626598867652733,1,10,85,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 85}",0.3,0.325,0.375,0.3125,0.4,0.34249999999999997,0.03840572873934305,10468
81,0.5278035640716553,0.11595415869569728,0.0401918888092041,0.013419219035259037,1,10,86,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 86}",0.3125,0.325,0.375,0.3,0.4,0.34249999999999997,0.03840572873934305,10468
82,0.555454683303833,0.15441151249878607,0.05284638404846191,0.020157378681621044,1,10,87,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 87}",0.3125,0.325,0.4,0.3125,0.4,0.35,0.04107919181288747,10399
83,0.6547155380249023,0.13918493197823825,0.03905057907104492,0.020129839070722355,1,10,88,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 88}",0.3125,0.325,0.4125,0.3125,0.4,0.3524999999999999,0.044300112866673375,10396
84,0.6209156513214111,0.17882916109033825,0.033319711685180664,0.010446767572254129,1,10,89,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 89}",0.3125,0.325,0.4125,0.3125,0.4,0.3524999999999999,0.044300112866673375,10396
85,0.5558331966400146,0.1916484770323862,0.027949094772338867,0.005189288643422359,1,10,90,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 90}",0.3125,0.325,0.4125,0.325,0.4,0.355,0.0422788363132194,10381
86,0.5635773658752441,0.15572559279376302,0.029140710830688477,0.007810290527846676,1,10,91,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 91}",0.3,0.325,0.4125,0.3375,0.4,0.355,0.043732139211339754,10381
87,0.4716315269470215,0.094732494560982,0.028419065475463866,0.005135510300683473,1,10,92,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 92}",0.3,0.325,0.425,0.3375,0.4,0.35750000000000004,0.04716990566028302,10373
88,0.5317466259002686,0.08127846497059922,0.028240013122558593,0.003989729281614869,1,10,93,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 93}",0.3,0.325,0.4125,0.3375,0.3875,0.3525,0.041382363393117114,10390
89,0.5177545070648193,0.08705996677571456,0.02674555778503418,0.0005894925476147547,1,10,94,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 94}",0.3,0.325,0.4125,0.3375,0.3875,0.3525,0.041382363393117114,10390
90,0.4608297824859619,0.017486225893674504,0.031203031539916992,0.007311091017167925,1,10,95,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 95}",0.3,0.325,0.3875,0.3375,0.3875,0.34750000000000003,0.03482097069296031,10411
91,0.46156988143920896,0.021921219470094212,0.031118249893188475,0.007398752512295492,1,10,96,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 96}",0.3,0.325,0.3875,0.3375,0.3875,0.34750000000000003,0.03482097069296031,10411
92,0.4633509635925293,0.014336991045409217,0.02656378746032715,0.0012519407726290465,1,10,97,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 97}",0.2875,0.325,0.3875,0.35,0.3875,0.34750000000000003,0.038242646351945894,10411
93,0.4397727966308594,0.007381449239191737,0.027823972702026366,0.0024198249136986485,1,10,98,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 98}",0.2875,0.325,0.4,0.3375,0.3875,0.34750000000000003,0.041382363393117134,10411
